epoch,avg_reward,avg_episode_reward,avg_episode_len,min_reward,max_reward,mpjpe,joint_angle_rmse,activation_volume,frame_coverage,pos_reward,vel_reward,upright_reward,energy_reward,t_sample,t_update
1,-0.039847,-1.3499,33.88,-0.114500,0.070067,0.162077,0.189336,36.2950,0.2969,0.008067,0.738525,0.851173,36.2950,28.33,7.84
2,0.017070,0.7709,45.16,-0.090227,0.039415,0.168931,0.193077,35.6899,0.2806,0.003938,0.732449,0.861454,35.6899,28.94,9.24
3,0.011533,0.4213,36.53,-0.019651,0.003832,0.163606,0.196132,36.2307,0.2848,0.007443,0.752490,0.850213,36.2307,29.27,5.83
4,0.028443,1.3389,47.08,0.012083,0.062707,0.156398,0.198857,33.7712,0.3158,0.020218,0.751182,0.856337,33.7712,24.14,6.95
5,-0.010660,-0.5077,47.63,-0.107672,0.178742,0.160782,0.209986,33.7480,0.3296,0.012464,0.746866,0.859642,33.7480,28.58,7.53
6,0.019932,1.0605,53.21,-0.013619,0.091532,0.154315,0.176241,32.7684,0.3377,0.003698,0.757811,0.863930,32.7684,24.40,7.50
7,0.030344,1.5521,51.15,0.014821,0.025224,0.158480,0.198469,32.4967,0.3309,0.010205,0.754291,0.851017,32.4967,27.08,8.62
8,0.019454,1.2063,62.01,-0.064342,0.064343,0.155469,0.185700,33.3779,0.3568,-0.004436,0.742096,0.847203,33.3779,29.44,6.98
9,0.024047,1.3168,54.76,-0.026350,0.038631,0.154728,0.176257,33.3160,0.3348,0.016832,0.752127,0.851570,33.3160,28.11,7.40
10,0.016770,0.7083,42.23,-0.028413,0.063406,0.165785,0.185776,32.9029,0.3093,0.010163,0.728552,0.838400,32.9029,27.22,6.58
11,0.020873,1.1520,55.19,0.010040,0.171900,0.164287,0.181960,31.5026,0.3509,-0.002557,0.742097,0.865508,31.5026,23.86,10.38
12,0.025200,1.1640,46.19,-0.063408,0.073662,0.161539,0.203537,33.9807,0.3540,-0.009196,0.745586,0.881831,33.9807,26.51,7.37
13,0.027811,1.1512,41.39,-0.009845,0.137849,0.154422,0.190967,34.0676,0.3668,-0.002449,0.751771,0.878090,34.0676,27.51,6.98
14,0.030510,1.4211,46.58,-0.074629,0.130183,0.155422,0.191854,32.8351,0.3716,-0.004231,0.772529,0.869190,32.8351,27.51,7.39
15,0.043329,3.0482,70.35,-0.133437,0.042833,0.159814,0.188403,34.2973,0.3347,0.006784,0.758362,0.833073,34.2973,24.23,8.10
16,0.036513,2.6132,71.57,0.006886,0.068981,0.162835,0.186354,34.2904,0.3483,0.016754,0.764119,0.866147,34.2904,24.00,7.62
17,0.025045,1.4037,56.05,-0.105945,0.072844,0.157444,0.183491,37.3660,0.3941,-0.002917,0.756878,0.866732,37.3660,27.39,6.23
18,0.026644,1.3098,49.16,0.004079,0.049340,0.154566,0.173923,33.6477,0.3693,0.032462,0.754990,0.850779,33.6477,24.85,9.35
19,0.059661,3.9311,65.89,0.040511,0.094594,0.167018,0.189441,33.5140,0.3632,0.000666,0.724863,0.863390,33.5140,23.18,9.37
20,0.029081,2.1471,73.83,-0.046692,0.054327,0.159204,0.185587,33.5476,0.3668,0.009929,0.786103,0.886391,33.5476,27.44,9.04
21,0.033061,2.4127,72.98,0.000386,0.113527,0.156979,0.174739,35.1017,0.4025,0.013729,0.762979,0.865624,35.1017,25.82,7.19
22,0.030481,2.2109,72.53,-0.017092,0.129251,0.152718,0.192829,34.7547,0.3756,0.024120,0.742680,0.874332,34.7547,27.73,8.32
23,0.085064,5.9727,70.21,0.025546,0.176668,0.149803,0.202997,34.0785,0.4017,0.020003,0.758976,0.867678,34.0785,22.14,5.65
24,0.029871,2.0070,67.19,-0.058908,0.116531,0.162263,0.195772,35.0036,0.3969,-0.007256,0.744012,0.874492,35.0036,23.68,7.12
25,0.017573,1.3280,75.57,0.016527,0.166396,0.150326,0.181146,34.4217,0.3996,0.021386,0.781485,0.884385,34.4217,20.46,7.73
26,0.081943,6.4684,78.94,-0.046160,0.134875,0.157567,0.195304,32.0696,0.3934,0.004168,0.764946,0.858566,32.0696,26.46,9.32
27,0.058321,4.4569,76.42,0.011907,0.074990,0.153545,0.186446,32.8062,0.3709,0.009367,0.784608,0.874996,32.8062,26.11,6.42
28,0.027873,1.9445,69.76,-0.161347,0.095292,0.155324,0.186659,33.2517,0.4217,-0.000760,0.744970,0.873449,33.2517,25.11,9.28
29,0.080017,6.5148,81.42,0.077305,0.127943,0.152022,0.180250,34.2617,0.3851,0.022083,0.770120,0.870477,34.2617,22.81,7.87
30,0.039961,2.4943,62.42,-0.051229,0.093124,0.157492,0.182564,31.0266,0.3620,0.000168,0.777420,0.872998,31.0266,27.25,8.20
31,0.073067,5.5637,76.15,-0.117617,0.061402,0.150542,0.182307,33.3604,0.3734,0.019394,0.790581,0.861639,33.3604,26.59,8.64
32,0.056119,4.5357,80.82,-0.006883,0.129316,0.154342,0.180175,33.2351,0.3736,0.004701,0.767816,0.872271,33.2351,24.50,8.91
33,0.111468,11.1331,99.88,0.094250,0.229385,0.153119,0.186785,33.7168,0.4006,0.008118,0.764588,0.893474,33.7168,27.57,6.76
34,0.091028,8.6722,95.27,0.036482,0.243551,0.144315,0.159573,31.9524,0.3889,0.033366,0.780249,0.875425,31.9524,22.24,8.18
35,0.086920,8.4206,96.88,0.011021,0.152417,0.149638,0.175180,33.2643,0.4499,0.011086,0.774301,0.876163,33.2643,27.83,11.16
36,0.073105,7.1555,97.88,-0.019310,0.094850,0.150730,0.182270,34.1077,0.4277,-0.006445,0.763373,0.865380,34.1077,22.34,7.03
37,0.085106,7.5483,88.69,0.050629,0.126507,0.136734,0.158286,35.2771,0.4373,0.004954,0.802696,0.881600,35.2771,26.17,7.95
38,0.100490,8.9555,89.12,0.087358,0.164111,0.152623,0.193341,32.6533,0.4258,0.026755,0.770040,0.886068,32.6533,26.83,8.81
39,0.078225,6.9900,89.36,-0.024104,0.176049,0.144483,0.170015,30.9074,0.4340,-0.013922,0.776996,0.849869,30.9074,22.43,4.98
40,0.101456,9.1358,90.05,0.082509,0.249285,0.143043,0.172388,34.0996,0.4434,0.016125,0.796190,0.881686,34.0996,22.30,8.22
41,0.115283,11.2755,97.81,0.080245,0.228952,0.146306,0.179082,32.8385,0.3933,0.003232,0.775189,0.877569,32.8385,25.83,7.70
42,0.089220,8.4266,94.45,0.081306,0.101576,0.144052,0.164890,35.1431,0.4743,-0.007276,0.776752,0.877197,35.1431,20.94,8.88
43,0.131272,10.5277,80.20,0.060573,0.219730,0.147423,0.188429,32.0618,0.4444,0.007739,0.779320,0.867396,32.0618,26.25,6.52
44,0.117284,11.2518,95.94,0.106209,0.162503,0.144866,0.169953,32.1321,0.4469,-0.007494,0.780097,0.870112,32.1321,23.32,8.41
45,0.100341,9.5306,94.98,-0.054426,0.139074,0.148846,0.184219,33.4975,0.4825,0.023424,0.765105,0.886415,33.4975,22.61,7.95
46,0.091433,8.1984,89.67,0.031624,0.109766,0.151547,0.197894,32.6036,0.3991,0.008678,0.769238,0.887997,32.6036,20.77,7.73
47,0.108213,9.5602,88.35,-0.006547,0.209710,0.141639,0.172844,33.3104,0.4205,0.038573,0.792070,0.903982,33.3104,26.72,7.51
48,0.089913,8.3408,92.76,0.020829,0.241683,0.149804,0.174711,30.1560,0.4331,0.003856,0.762060,0.869526,30.1560,28.29,9.24
49,0.148970,14.4156,96.77,0.019764,0.156091,0.139296,0.165521,32.8844,0.4565,0.022075,0.796839,0.889192,32.8844,25.71,7.50
50,0.116468,10.8041,92.76,0.065380,0.184338,0.148702,0.195716,32.5632,0.4464,0.020411,0.762091,0.886045,32.5632,24.11,9.13
51,0.133417,11.7596,88.14,-0.099782,0.152771,0.150602,0.177513,31.5645,0.4507,-0.004389,0.784960,0.885905,31.5645,22.69,9.13
52,0.106673,10.0537,94.25,0.103344,0.248101,0.139534,0.162183,30.8377,0.4731,0.024338,0.810271,0.860652,30.8377,23.37,7.55
53,0.139264,13.6819,98.24,0.080787,0.196607,0.139512,0.155530,32.1330,0.4693,0.021899,0.809071,0.893001,32.1330,29.19,8.44
54,0.158376,17.3385,109.48,0.104206,0.244237,0.138725,0.154438,33.1827,0.4968,0.020896,0.793386,0.884087,33.1827,25.74,7.71
55,0.139942,15.4534,110.43,0.082366,0.236171,0.132902,0.172467,32.0647,0.4775,0.027326,0.809108,0.882025,32.0647,23.33,7.07
56,0.125927,12.9427,102.78,0.089548,0.177717,0.149520,0.190875,32.4072,0.5089,0.005245,0.786829,0.885652,32.4072,28.40,6.29
57,0.111037,11.9565,107.68,-0.047130,0.129982,0.142849,0.171427,31.5523,0.4381,0.006019,0.786395,0.895516,31.5523,20.65,6.52
58,0.132408,14.6049,110.30,0.116799,0.136226,0.143846,0.171953,31.5743,0.4533,0.028687,0.802166,0.890240,31.5743,25.13,6.66
59,0.126607,13.7821,108.86,0.049901,0.212788,0.138396,0.161690,30.5270,0.4827,0.024799,0.781177,0.884784,30.5270,24.56,8.92
60,0.138906,17.1753,123.65,0.129265,0.140701,0.144297,0.166801,32.6708,0.4308,0.011689,0.798363,0.881287,32.6708,28.71,7.86
61,0.135275,15.1018,111.64,0.074912,0.150658,0.152151,0.174450,35.5717,0.4880,0.047890,0.790992,0.885646,35.5717,24.31,6.39
62,0.101831,11.9763,117.61,0.009375,0.183450,0.143232,0.166751,31.2002,0.4767,0.020291,0.785532,0.883963,31.2002,30.08,5.59
63,0.148384,16.4351,110.76,0.091377,0.273047,0.138237,0.162322,33.2597,0.4736,0.003752,0.787195,0.890374,33.2597,30.36,7.47
