epoch,avg_reward,avg_episode_reward,avg_episode_len,min_reward,max_reward,mpjpe,joint_angle_rmse,activation_volume,frame_coverage,pos_reward,vel_reward,upright_reward,energy_reward,t_sample,t_update
1,0.012820,0.5938,46.32,-0.031669,0.089835,0.158486,0.187884,35.7933,0.3149,-0.001976,0.762483,0.843917,35.7933,23.70,8.09
2,0.003417,0.1585,46.38,-0.075257,0.093414,0.168215,0.203588,37.1622,0.2852,-0.013108,0.729218,0.868856,37.1622,26.31,8.98
3,0.022561,0.6237,27.64,-0.029755,0.102054,0.162500,0.198007,33.3335,0.2916,0.013634,0.733678,0.855142,33.3335,26.68,7.89
4,0.004816,0.2002,41.57,-0.033006,0.128031,0.173828,0.206439,33.0534,0.2994,0.029848,0.732279,0.850925,33.0534,26.64,7.90
5,0.000753,0.0316,42.04,-0.156075,0.133430,0.158653,0.182197,35.7503,0.3369,0.007432,0.744325,0.836219,35.7503,25.49,9.89
6,0.036600,1.6484,45.04,-0.080464,0.100010,0.158411,0.196838,34.2532,0.3595,0.000373,0.754517,0.850574,34.2532,33.20,8.66
7,0.026949,1.2007,44.55,-0.016918,0.127706,0.158736,0.189218,33.4600,0.3201,0.025612,0.755995,0.872381,33.4600,23.33,7.06
8,0.015940,0.6150,38.58,-0.100148,0.088386,0.166983,0.198474,33.6876,0.3521,0.004108,0.739762,0.853581,33.6876,30.33,9.63
9,0.005641,0.2301,40.78,-0.025496,0.020710,0.160742,0.168411,33.3177,0.3633,0.019693,0.757057,0.846995,33.3177,25.21,9.08
10,0.021849,1.4645,67.03,-0.054098,0.018892,0.163044,0.200229,36.1757,0.3360,-0.004379,0.766822,0.859339,36.1757,23.14,8.14
11,0.036850,2.0655,56.05,0.008747,0.087896,0.160397,0.191710,33.5986,0.3408,0.007263,0.767195,0.860498,33.5986,25.32,7.67
12,0.035881,2.0645,57.54,-0.095815,0.107230,0.156091,0.185350,33.0634,0.3630,-0.016065,0.756241,0.847200,33.0634,26.41,7.61
13,0.033545,1.7765,52.96,-0.003600,0.107432,0.156203,0.189379,34.4014,0.3228,0.017993,0.777347,0.852891,34.4014,22.65,6.52
14,0.054523,2.9287,53.71,0.004010,0.107882,0.163341,0.178601,33.1131,0.3337,0.000479,0.769965,0.864153,33.1131,24.94,8.49
15,0.026907,1.3651,50.73,-0.036842,0.107167,0.151896,0.175375,34.7782,0.3155,0.007973,0.763665,0.878476,34.7782,23.01,9.00
16,0.048360,3.0946,63.99,-0.010599,0.145458,0.166931,0.211196,34.0191,0.3773,0.002130,0.726139,0.854573,34.0191,23.04,8.43
17,0.042295,2.8693,67.84,-0.061338,0.066217,0.160387,0.190980,33.2186,0.3318,0.010276,0.718550,0.841186,33.2186,27.27,7.72
18,0.028096,1.9179,68.26,-0.104499,0.050197,0.154193,0.166934,34.2749,0.3973,0.002073,0.756344,0.857876,34.2749,29.06,9.11
19,0.074853,3.7366,49.92,-0.009294,0.081392,0.161991,0.198978,33.2050,0.3448,0.003947,0.732770,0.870981,33.2050,26.15,7.06
20,0.069709,4.7537,68.19,0.033467,0.155489,0.152161,0.179340,34.7059,0.3420,0.007279,0.771455,0.869934,34.7059,25.89,7.16
21,0.053336,3.1810,59.64,0.037435,0.050762,0.144893,0.188570,33.3683,0.3432,-0.004949,0.785379,0.853291,33.3683,22.37,9.82
22,0.067442,4.1792,61.97,-0.000314,0.237463,0.152647,0.191081,33.5715,0.3764,-0.004540,0.768915,0.864186,33.5715,26.12,6.81
23,0.089122,6.9947,78.48,0.078129,0.200477,0.151696,0.198287,33.9144,0.3796,0.018857,0.761053,0.860884,33.9144,28.63,8.15
24,0.073688,5.4432,73.87,0.018798,0.086541,0.157034,0.186932,32.0395,0.3435,0.007041,0.777435,0.871822,32.0395,22.05,9.72
25,0.084072,5.6469,67.17,-0.033230,0.178105,0.160605,0.190382,34.8880,0.3246,0.038549,0.763278,0.875780,34.8880,23.81,8.22
26,0.060778,4.6433,76.40,0.019923,0.132063,0.157630,0.197060,33.8392,0.4254,0.008296,0.759208,0.848166,33.8392,26.18,7.41
27,0.050800,3.6526,71.90,-0.040006,0.110991,0.159902,0.196741,33.1926,0.3982,-0.026891,0.753807,0.860258,33.1926,28.32,6.83
28,0.039270,3.0097,76.64,-0.010748,0.045921,0.146485,0.171682,34.1381,0.3986,0.017154,0.791091,0.851270,34.1381,24.28,8.01
29,0.066637,5.1631,77.48,-0.019191,0.123104,0.139786,0.172676,35.5197,0.4281,0.017005,0.799953,0.880269,35.5197,26.50,8.50
30,0.022469,1.4114,62.82,0.004455,0.196359,0.152503,0.171665,35.2249,0.3932,0.007395,0.776704,0.874769,35.2249,25.62,7.81
31,0.060946,4.9332,80.94,0.029280,0.165120,0.147396,0.175407,32.8805,0.4021,0.023943,0.777579,0.868741,32.8805,26.01,6.44
32,0.052788,4.0299,76.34,0.024756,0.115736,0.142387,0.176081,34.7838,0.4009,0.030314,0.792385,0.876899,34.7838,30.59,9.57
33,0.086675,6.7984,78.44,0.012118,0.119361,0.154607,0.178452,34.4227,0.3755,0.026730,0.788478,0.876830,34.4227,29.65,9.13
