epoch,avg_reward,avg_episode_reward,avg_episode_len,min_reward,max_reward,mpjpe,joint_angle_rmse,activation_volume,frame_coverage,pos_reward,vel_reward,upright_reward,energy_reward,t_sample,t_update
1,0.023237,1.0580,45.53,-0.004520,0.054197,0.143464,0.178749,57.1822,0.3069,0.008755,0.774945,0.852496,57.1822,27.96,6.57
2,0.003432,0.1545,45.01,-0.034902,0.032153,0.158885,0.184486,57.5012,0.2759,-0.011539,0.759754,0.863635,57.5012,27.65,7.73
3,0.027015,0.7063,26.14,0.000045,0.146332,0.152511,0.181270,56.3717,0.2859,0.000707,0.768945,0.859599,56.3717,32.22,6.69
4,0.031933,1.3010,40.74,-0.034117,0.118331,0.157961,0.187914,54.5341,0.2937,0.028245,0.749389,0.859184,54.5341,30.13,8.16
5,0.012654,0.5069,40.06,-0.011909,0.056197,0.150046,0.169596,55.4370,0.3590,0.009377,0.774091,0.838735,55.4370,32.22,8.50
6,0.051221,2.6334,51.41,0.015961,0.168153,0.150241,0.180918,56.1196,0.3637,0.004933,0.775209,0.858313,56.1196,30.55,7.89
7,0.037458,1.9600,52.32,-0.031164,0.222516,0.145260,0.173659,53.9056,0.3145,0.020656,0.781766,0.858372,53.9056,30.87,8.29
8,0.027632,1.0690,38.69,0.025153,0.134610,0.151600,0.183944,55.2078,0.3644,0.000592,0.776925,0.859923,55.2078,32.31,7.54
9,0.026681,1.3590,50.94,-0.068795,0.045734,0.145686,0.160961,54.0216,0.3665,0.021048,0.796261,0.855612,54.0216,28.45,6.63
10,0.039262,2.9634,75.48,-0.037911,0.136718,0.150090,0.176493,57.2316,0.3617,0.010647,0.799214,0.854118,57.2316,31.74,8.07
11,0.056689,3.4284,60.48,-0.014188,0.063029,0.146659,0.174894,56.1284,0.3359,0.014378,0.807873,0.873416,56.1284,29.29,10.07
12,0.057996,3.5606,61.39,0.021861,0.131748,0.148428,0.165915,53.9445,0.3516,0.003095,0.786994,0.847856,53.9445,28.24,7.62
13,0.065204,4.0028,61.39,-0.054873,0.163706,0.138892,0.170070,55.7828,0.3335,0.030251,0.815630,0.858411,55.7828,29.10,9.45
14,0.091970,5.6883,61.85,0.057208,0.141390,0.145448,0.167241,52.6896,0.3376,0.019373,0.803485,0.864709,52.6896,30.46,6.13
15,0.054853,3.2834,59.86,-0.099992,0.068558,0.147297,0.159374,54.6177,0.3288,0.016321,0.799861,0.879302,54.6177,31.68,8.00
16,0.087597,5.8434,66.71,0.043614,0.188902,0.148999,0.191191,53.9871,0.3902,0.004949,0.771401,0.855876,53.9871,29.81,6.07
17,0.081860,6.2869,76.80,0.008925,0.154952,0.148120,0.171253,56.3363,0.3658,0.012538,0.757523,0.846807,56.3363,29.55,7.34
18,0.064003,5.0760,79.31,-0.003140,0.089700,0.144517,0.146364,55.7985,0.4076,0.014381,0.799125,0.864344,55.7985,29.44,8.58
19,0.100997,6.5800,65.15,0.021436,0.163962,0.140150,0.184512,53.7345,0.3699,0.015747,0.778318,0.872988,53.7345,33.41,7.35
20,0.107270,8.1649,76.12,0.032579,0.208269,0.136821,0.154177,54.5033,0.3788,0.024368,0.815749,0.870004,54.5033,28.17,7.01
21,0.088222,5.6367,63.89,0.054311,0.116207,0.136735,0.172556,54.1534,0.3667,0.011913,0.818768,0.860548,54.1534,32.91,6.92
22,0.114086,7.0445,61.75,0.100597,0.108879,0.135167,0.161952,54.1497,0.3790,0.016078,0.815576,0.874368,54.1497,29.14,10.08
23,0.129750,11.1033,85.57,0.107769,0.154583,0.137233,0.171660,55.1045,0.3948,0.025757,0.797557,0.871210,55.1045,27.32,7.17
24,0.114404,9.2503,80.86,0.108994,0.140897,0.143516,0.164669,50.8991,0.3447,0.023881,0.826474,0.874986,50.8991,32.35,9.27
25,0.141119,11.1192,78.79,0.089892,0.153168,0.136334,0.171114,55.2286,0.3758,0.048883,0.801921,0.882285,55.2286,32.36,7.02
26,0.126593,11.0589,87.36,0.067086,0.115166,0.136185,0.172277,55.0273,0.4591,0.017770,0.803448,0.861042,55.0273,28.57,7.92
27,0.103002,8.0195,77.86,0.045918,0.119746,0.140757,0.176808,55.1024,0.4205,-0.018196,0.800550,0.876957,55.1024,29.75,9.30
28,0.092439,7.6096,82.32,0.080582,0.111788,0.128934,0.145880,53.5886,0.4562,0.039212,0.831860,0.859098,53.5886,32.99,7.95
29,0.133332,12.7015,95.26,0.079836,0.141457,0.122290,0.154176,54.0570,0.4487,0.042286,0.847955,0.890142,54.0570,28.65,6.70
30,0.075065,6.3623,84.76,0.067306,0.099246,0.138708,0.154389,54.7735,0.4304,0.024982,0.816507,0.894278,54.7735,29.60,8.18
31,0.125436,11.9463,95.24,-0.006569,0.156051,0.126735,0.156857,53.4149,0.4347,0.039612,0.831058,0.872897,53.4149,26.30,10.69
32,0.112620,9.5150,84.49,-0.112056,0.261159,0.127955,0.149091,55.1761,0.4144,0.059464,0.835045,0.883078,55.1761,35.17,7.69
33,0.134624,12.7291,94.55,0.003059,0.281162,0.125665,0.157417,55.9327,0.4037,0.056561,0.840144,0.890865,55.9327,29.28,7.71
34,0.149686,16.8357,112.47,0.113547,0.247077,0.131136,0.163581,53.5258,0.4474,0.030483,0.814187,0.876948,53.5258,30.46,7.40
35,0.136163,14.0692,103.33,0.037917,0.226417,0.125980,0.157367,53.1330,0.4374,0.031212,0.812549,0.874944,53.1330,26.27,7.54
36,0.138282,13.1437,95.05,0.109996,0.188731,0.129119,0.150705,54.7024,0.4377,0.041274,0.824538,0.873671,54.7024,24.36,6.79
37,0.141537,15.0432,106.28,0.117247,0.262206,0.135818,0.162202,53.4819,0.4725,0.026786,0.790777,0.880279,53.4819,32.95,7.23
38,0.134444,13.2939,98.88,0.071561,0.145480,0.130968,0.161743,51.5784,0.4546,0.033717,0.829937,0.876790,51.5784,31.54,7.22
39,0.158023,15.8458,100.28,0.070631,0.189471,0.130145,0.145759,53.3841,0.4667,0.052362,0.834615,0.887255,53.3841,30.05,6.32
40,0.146260,14.1482,96.73,0.090878,0.155248,0.125061,0.160241,54.2226,0.4427,0.041085,0.850499,0.903208,54.2226,27.61,8.75
41,0.150239,17.7366,118.06,0.110175,0.164323,0.127362,0.163975,53.7842,0.4860,0.050833,0.837957,0.869796,53.7842,31.71,8.30
42,0.176857,21.3502,120.72,0.082749,0.191225,0.134857,0.155416,55.5786,0.4436,0.051445,0.830432,0.905206,55.5786,27.55,7.58
43,0.185522,20.6251,111.17,0.174904,0.220949,0.118523,0.128707,53.8614,0.4956,0.047944,0.832686,0.901425,53.8614,31.12,7.45
44,0.182031,18.8487,103.55,0.077445,0.183600,0.134455,0.168782,53.2213,0.4774,0.019791,0.838794,0.886860,53.2213,26.23,7.25
45,0.178449,19.9480,111.79,0.099643,0.184487,0.127999,0.156628,52.1773,0.4932,0.026931,0.829325,0.904544,52.1773,31.53,6.89
46,0.195076,22.6753,116.24,0.187708,0.203229,0.121377,0.157537,52.0005,0.5108,0.055152,0.845994,0.896294,52.0005,30.20,7.37
47,0.172121,18.6925,108.60,0.145355,0.212574,0.124705,0.139431,51.8628,0.4883,0.034200,0.831969,0.894591,51.8628,30.37,6.64
48,0.154219,20.0984,130.32,0.006041,0.181458,0.119398,0.154724,52.1273,0.4811,0.039726,0.833021,0.872717,52.1273,32.51,9.33
49,0.179354,21.0831,117.55,0.119559,0.272614,0.119469,0.139118,50.2437,0.5314,0.040754,0.839160,0.915086,50.2437,29.40,8.33
50,0.202939,25.2717,124.53,0.105390,0.315727,0.124385,0.147746,51.2700,0.4942,0.041942,0.843881,0.900303,51.2700,31.18,7.31
51,0.201044,24.6912,122.81,-0.115243,0.316675,0.128083,0.144689,52.1539,0.5135,0.053968,0.841511,0.895198,52.1539,29.07,9.02
52,0.172740,21.4509,124.18,0.162343,0.221349,0.119619,0.166145,50.9985,0.5031,0.024952,0.837198,0.878509,50.9985,28.80,9.63
53,0.227984,31.7768,139.38,0.181328,0.286587,0.124263,0.152758,55.2356,0.4937,0.037001,0.835796,0.912995,55.2356,30.31,8.55
54,0.235779,30.5650,129.63,0.201691,0.276552,0.118987,0.140230,53.1215,0.4916,0.050540,0.843181,0.883843,53.1215,25.94,9.51
55,0.209837,25.6772,122.37,0.179750,0.359318,0.117006,0.143602,50.6432,0.4851,0.075145,0.832731,0.896155,50.6432,26.78,7.32
