epoch,avg_reward,avg_episode_reward,avg_episode_len,min_reward,max_reward,mpjpe,joint_angle_rmse,activation_volume,frame_coverage,pos_reward,vel_reward,upright_reward,energy_reward,t_sample,t_update
1,-0.042064,-1.4978,35.61,-0.043975,0.073563,0.165372,0.180668,36.5799,0.2871,-0.001414,0.718040,0.844279,36.5799,29.85,7.81
2,0.035077,1.5406,43.92,-0.138049,0.106582,0.171719,0.218598,34.7537,0.2833,0.006263,0.715258,0.859586,34.7537,26.44,8.84
3,0.000804,0.0346,43.09,-0.028173,0.042332,0.159240,0.209301,36.1169,0.3146,-0.005196,0.733612,0.871756,36.1169,27.74,10.90
4,0.019198,0.9994,52.06,-0.086194,0.032727,0.162970,0.183059,35.2353,0.3279,-0.000064,0.741165,0.859615,35.2353,28.74,8.10
5,0.009537,0.3773,39.56,-0.078178,0.052731,0.168474,0.207958,34.2287,0.3324,0.004622,0.737814,0.847628,34.2287,25.18,9.26
6,0.007755,0.3629,46.79,-0.047923,0.141760,0.172210,0.199027,34.1558,0.2985,0.002544,0.712515,0.853974,34.1558,25.38,8.45
7,0.013666,0.6762,49.48,-0.137221,0.066340,0.171255,0.203573,35.2393,0.2831,0.016447,0.736371,0.854196,35.2393,26.84,7.50
8,-0.003291,-0.1525,46.33,-0.038135,0.052495,0.159097,0.191106,33.4148,0.3150,0.017166,0.734154,0.852392,33.4148,25.62,10.63
9,-0.000309,-0.0157,50.96,-0.035617,0.045183,0.169250,0.193489,31.8539,0.3591,0.028084,0.725421,0.854346,31.8539,28.59,7.31
10,0.024051,1.0735,44.63,-0.053450,0.111830,0.156383,0.190454,33.1105,0.3026,0.015037,0.754068,0.847629,33.1105,25.20,7.01
11,0.017447,1.0780,61.79,-0.008354,0.036102,0.163439,0.200922,31.0193,0.3558,-0.005024,0.711568,0.844700,31.0193,26.39,6.88
12,0.033235,1.6468,49.55,-0.019786,0.152938,0.155097,0.183184,34.9894,0.3266,0.009914,0.759584,0.865640,34.9894,23.16,7.52
13,0.032279,1.1572,35.85,-0.073247,0.045499,0.161949,0.198416,36.0238,0.2918,0.020071,0.754671,0.844996,36.0238,28.85,7.51
14,0.016984,0.9451,55.65,-0.022067,0.141419,0.167282,0.196193,35.1130,0.3711,0.020756,0.745574,0.843044,35.1130,23.14,8.67
15,0.023509,1.0453,44.47,-0.062904,0.038988,0.155078,0.188671,35.6893,0.3426,-0.009280,0.749312,0.855853,35.6893,26.84,8.92
16,0.001223,0.0613,50.12,-0.083623,0.042420,0.162408,0.189145,35.6012,0.3539,0.000646,0.759140,0.854175,35.6012,23.04,6.42
17,0.052296,2.1400,40.92,0.029778,0.138433,0.154089,0.190766,36.0554,0.3074,0.014109,0.765121,0.854333,36.0554,23.31,7.27
18,0.022563,1.0038,44.49,-0.025184,0.142177,0.156231,0.178689,33.8054,0.3464,0.012322,0.778054,0.864376,33.8054,26.42,8.50
19,0.039966,1.7426,43.60,-0.055581,0.072516,0.154210,0.191525,34.0527,0.3223,0.027306,0.761547,0.872178,34.0527,22.80,6.08
20,0.018951,0.9667,51.01,-0.018069,0.125290,0.159061,0.213354,32.7841,0.3543,0.004812,0.746503,0.866483,32.7841,24.02,7.95
21,0.031158,1.8513,59.42,0.025611,0.102837,0.155627,0.193915,33.1096,0.3542,0.033342,0.762982,0.866949,33.1096,23.70,8.99
22,0.053538,3.1844,59.48,-0.005584,0.090163,0.157064,0.184754,34.8868,0.3346,-0.014362,0.771707,0.869488,34.8868,29.17,6.45
23,0.029798,1.4047,47.14,0.015693,0.058896,0.159302,0.188484,34.9425,0.3397,0.009248,0.775719,0.859710,34.9425,26.28,7.88
24,0.046073,2.9088,63.14,-0.033877,0.122474,0.154996,0.189001,35.8465,0.3304,0.013362,0.754579,0.844908,35.8465,22.77,9.00
25,0.055439,3.2746,59.07,0.001362,0.138570,0.153282,0.195380,30.2672,0.3534,0.007065,0.768475,0.874706,30.2672,26.34,7.11
