epoch,avg_reward,avg_episode_reward,avg_episode_len,min_reward,max_reward,mpjpe,joint_angle_rmse,activation_volume,frame_coverage,pos_reward,vel_reward,upright_reward,energy_reward,t_sample,t_update
1,-0.036242,-1.4355,39.61,-0.074288,0.022506,0.158131,0.172964,57.6443,0.3022,0.000090,0.750647,0.847708,0.720579,28.02,8.80
2,0.031702,1.4370,45.33,0.015887,0.046156,0.161511,0.201964,56.7564,0.2885,0.009695,0.752708,0.856416,0.703262,23.67,8.12
3,-0.003740,-0.1662,44.45,-0.020672,0.027660,0.153541,0.191878,57.0604,0.3101,-0.000271,0.764231,0.867855,0.701882,24.36,5.92
4,0.016930,0.8001,47.26,-0.088400,0.021144,0.151898,0.171745,56.2952,0.3182,0.009117,0.772168,0.856950,0.704614,23.61,5.88
5,0.011789,0.4461,37.84,-0.011896,0.027618,0.157038,0.191097,54.8973,0.3285,0.014021,0.769729,0.848809,0.712007,29.59,7.65
6,0.021762,1.1934,54.84,-0.009509,0.245116,0.159451,0.183835,55.5865,0.3033,0.010182,0.739596,0.856450,0.704972,24.09,7.25
7,0.013944,0.7523,53.95,0.000159,0.029463,0.155731,0.190821,55.1701,0.3147,0.012707,0.767147,0.855083,0.704220,24.92,10.15
8,0.013082,0.6700,51.21,0.001359,0.075073,0.149885,0.174178,54.6124,0.3350,0.029123,0.760257,0.850789,0.707367,33.42,8.27
9,0.017928,0.9653,53.84,-0.071418,0.201606,0.157623,0.182842,53.7603,0.3429,0.030150,0.758116,0.858669,0.728585,19.85,8.35
10,0.041696,1.9786,47.45,-0.010523,0.084988,0.141055,0.174549,55.5737,0.3192,0.021800,0.792719,0.860486,0.712327,25.82,6.14
11,0.026420,1.6467,62.33,-0.033978,0.043901,0.155194,0.182441,53.2908,0.3577,0.001227,0.748815,0.840152,0.717661,21.00,7.03
12,0.057652,3.1014,53.79,0.010671,0.108439,0.143844,0.165629,55.5432,0.3250,0.017732,0.790526,0.868022,0.708310,21.88,7.44
13,0.054112,2.3269,43.00,-0.105960,0.260041,0.149368,0.184368,57.1983,0.3262,0.020386,0.781098,0.849385,0.729948,22.61,9.60
14,0.036254,2.3156,63.87,-0.102700,0.106472,0.153166,0.180016,55.5893,0.3736,0.019527,0.775624,0.844469,0.722025,27.35,8.49
15,0.033716,1.7462,51.79,-0.074638,0.060566,0.147079,0.169410,55.8094,0.3412,0.003019,0.785022,0.859164,0.713409,23.88,6.09
16,0.027684,1.6397,59.23,-0.026701,0.083551,0.145113,0.173913,56.2821,0.3718,0.006717,0.798764,0.858931,0.722178,25.75,6.63
17,0.068983,3.5484,51.44,-0.001988,0.211798,0.138077,0.173935,56.6671,0.3295,0.021024,0.795819,0.848552,0.721044,22.19,8.17
18,0.045713,2.4644,53.91,-0.046321,0.116590,0.141190,0.168827,54.2672,0.3471,0.019498,0.802811,0.866634,0.735940,26.08,6.27
19,0.060709,3.1976,52.67,-0.159981,0.228760,0.145832,0.177398,54.5718,0.3481,0.034109,0.798327,0.874960,0.716555,27.29,8.47
20,0.042595,2.4620,57.80,0.004627,0.131295,0.149046,0.190943,55.1630,0.3782,0.012246,0.788153,0.867491,0.723109,23.14,6.89
21,0.058407,3.9270,67.24,-0.006732,0.196518,0.139827,0.177024,54.0935,0.3879,0.043208,0.803727,0.870631,0.735242,20.35,11.16
22,0.080942,5.0306,62.15,0.021455,0.185916,0.140937,0.161217,55.4708,0.3390,-0.002786,0.803919,0.872952,0.724727,23.65,9.67
23,0.061967,3.7261,60.13,-0.175723,0.152212,0.143493,0.177454,55.5101,0.3759,0.014027,0.806558,0.856920,0.763782,24.91,8.23
24,0.070140,5.2619,75.02,0.008634,0.093789,0.142005,0.170870,55.9193,0.3400,0.018979,0.796999,0.851491,0.743061,21.73,8.04
25,0.083942,5.4312,64.70,0.052502,0.121776,0.140013,0.176731,51.1468,0.3675,0.020236,0.804122,0.876016,0.735279,26.32,7.70
26,0.060344,4.8248,79.96,-0.006038,0.122880,0.144691,0.182779,53.9692,0.3997,-0.000863,0.798283,0.868923,0.730797,22.03,9.04
27,0.078729,4.9960,63.46,0.026474,0.094242,0.145442,0.173149,54.1440,0.3489,-0.007152,0.787619,0.865070,0.709936,21.34,9.52
28,0.053517,4.0581,75.83,-0.002993,0.064628,0.143454,0.168138,53.9108,0.3863,0.023631,0.792490,0.858263,0.727476,26.57,8.17
29,0.087513,5.7994,66.27,-0.154918,0.110399,0.140538,0.181580,55.3059,0.3603,-0.001128,0.809370,0.873688,0.745272,21.12,5.72
30,0.042628,3.3211,77.91,-0.013333,0.167768,0.148665,0.179934,53.7345,0.3727,0.012835,0.775577,0.866269,0.727320,22.32,5.76
31,0.081832,6.4573,78.91,-0.007539,0.215222,0.142445,0.172176,54.0574,0.3871,0.023451,0.808238,0.886658,0.737490,25.85,8.08
32,0.102028,8.7871,86.12,0.054120,0.261406,0.137484,0.174418,56.1376,0.4352,0.041374,0.831391,0.878685,0.736021,26.19,7.75
